System,School,is CEP,Enrollment ,Free,% Free,Reduced,% Reduced,Free Reduced,% Free Reduced ,,,
,0250 Oliver K5 School,1,437,334,76.43%,*,*,334,76.43%,,,
,0270 Glen Iris Elementary School,1,722,358,49.58%,*,*,358,49.58%,,,
,0320 Green Acres Middle School,1,343,252,73.47%,*,*,252,73.47%,,,
,0331 Hayes K-8,1,664,552,83.13%,*,*,552,83.13%,,,
,0340 Hemphill Elementary School,1,293,221,75.43%,*,*,221,75.43%,,,
,0370 Hudson K-Eight School,1,676,500,73.96%,*,*,500,73.96%,,,
,0380 Huffman Middle School,1,414,246,59.42%,*,*,246,59.42%,,,
,0390 Huffman High School-Magnet,1,"1,159",620,53.49%,*,*,620,53.49%,,,
,0395 Huffman Academy,1,645,391,60.62%,*,*,391,60.62%,,,
,0400 Inglenook School,1,296,198,66.89%,*,*,198,66.89%,,,
,0415 Jackson-Olin High School,1,764,500,65.45%,*,*,500,65.45%,,,
,0505 Martha Gaskins K-5,1,483,312,64.60%,*,*,312,64.60%,,,
,0550 Minor Elementary School,1,435,345,79.31%,*,*,345,79.31%,,,
,0610 Norwood Elementary School,1,232,154,66.38%,*,*,154,66.38%,,,
,0625 Oxmoor K-5,1,419,293,69.93%,*,*,293,69.93%,,,
,0630 Parker High School,1,773,448,57.96%,*,*,448,57.96%,,,
,0651 Phillips Academy,1,596,218,36.58%,*,*,218,36.58%,,,
,0700 Princeton School,1,195,73,37.44%,*,*,73,37.44%,,,
,0710 WE Putnam Middle School-Magnet,1,224,155,69.20%,*,*,155,69.20%,,,
,0720 Ramsay High School,1,698,196,28.08%,*,*,196,28.08%,,,
,0735 Ossie Ware Mitchell Middle School,1,319,206,64.58%,*,*,206,64.58%,,,
,0750 Robinson Elementary School,1,318,201,63.21%,*,*,201,63.21%,,,
,0775 Sun Valley Elementary School,1,570,369,64.74%,*,*,369,64.74%,,,
,0790 Smith Middle School,1,463,307,66.31%,*,*,307,66.31%,,,
,0795 South Hampton K-8,1,517,334,64.60%,*,*,334,64.60%,,,
,0803 Richard Arrington Elementary,1,331,243,73.41%,*,*,243,73.41%,,,
,0830 Tuggle Elementary School,1,435,268,61.61%,*,*,268,61.61%,,,
,0850 Washington K8,1,487,289,59.34%,*,*,289,59.34%,,,
,0857 Jones Valley Middle School,1,509,401,78.78%,*,*,401,78.78%,,,
,0858 Wenonah High School,1,717,458,63.88%,*,*,458,63.88%,,,
,0880 West End Academy,1,434,344,79.26%,*,*,344,79.26%,,,
,0900 Wilkerson Middle School,1,385,238,61.82%,*,*,238,61.82%,,,
,0920 Woodlawn High School-Magnet,1,763,510,66.84%,*,*,510,66.84%,,,
,0930 Wylam Elementary School,1,349,249,71.35%,*,*,249,71.35%,,,
115 Boaz City,,,"2,350","1,334",56.766%,169,7.191%,"1,503",63.957%,,,
,0045 Boaz Elementary School,0,381,230,60.37%,42,11.02%,272,71.39%,,,
,0050 Boaz Intermediate School,0,356,229,64.33%,27,7.58%,256,71.91%,,,
,0060 Boaz High School,0,708,325,45.90%,35,4.94%,360,50.85%,,,
,0065 Boaz Middle School,0,554,331,59.75%,38,6.86%,369,66.61%,,,
,0080 Corley Elementary School,0,351,219,62.39%,27,7.69%,246,70.09%,,,
116 Brewton City,,,"1,173",412,35.124%,*,*,412,35.124%,,,
,0010 Brewton Elementary School,0,439,174,39.64%,*,*,174,39.64%,,,
,0020 Brewton Middle School,0,340,117,34.41%,*,*,117,34.41%,,,
,0030 TR Miller High School,0,394,121,30.71%,*,*,121,30.71%,,,
121 Chickasaw City,,,"2,627","1,704",64.865%,*,*,"1,704",64.865%,,,
,0010 Chickasaw City Elementary School,1,462,316,68.40%,*,*,316,68.40%,,,
,0015 Chickasaw Middle School,1,247,172,69.64%,*,*,172,69.64%,,,
,0020 Chickasaw City High School,1,257,142,55.25%,*,*,142,55.25%,,,
,0025 Alabama Destinations Career Academy,0,"1,661","1,074",64.66%,*,*,"1,074",64.66%,,,
125 Cullman City,,,"3,194",493,15.435%,137,4.289%,630,19.724%,,,
,0010 Cullman Middle School,0,511,75,14.68%,20,3.91%,95,18.59%,,,
,0020 Cullman High School,0,"1,021",116,11.36%,27,2.64%,143,14.01%,,,
,0030 East Elementary School,0,606,68,11.22%,19,3.14%,87,14.36%,,,
,0040 West Elementary School,0,573,136,23.73%,23,4.01%,159,27.75%,,,
,0050 Cullman City Primary School,0,483,98,20.29%,48,9.94%,146,30.23%,,,
126 Daleville City,,,"1,160",606,52.241%,*,*,606,52.241%,,,
,0010 Daleville High School,1,307,125,40.72%,*,*,125,40.72%,,,
,0015 A M Windham Elementary School,1,476,279,58.61%,*,*,279,58.61%,,,
,0025 Daleville Middle School,1,377,202,53.58%,*,*,202,53.58%,,,
127 Decatur City,,,"8,380","3,550",42.363%,192,2.291%,"3,742",44.654%,,,
,0010 Austin High School,0,"1,037",350,33.75%,38,3.66%,388,37.42%,,,
,0015 Austin Junior High School,0,751,317,42.21%,30,3.99%,347,46.21%,,,
,0020 Austinville Elementary School,1,361,140,38.78%,*,*,140,38.78%,,,
,0023 Austin Middle School,0,753,334,44.36%,29,3.85%,363,48.21%,,,
,0025 Chestnut Grove Elementary School,1,411,152,36.98%,*,*,152,36.98%,,,
,0030 Decatur High School,0,997,408,40.92%,30,3.01%,438,43.93%,,,
,0031 Decatur High Developmental,0,38,16,42.11%,*,*,18,47.37%,,,
,0050 Eastwood Elementary School,1,197,56,28.43%,*,*,56,28.43%,,,
,0055 Frances Nungester Elementary School,1,348,210,60.34%,*,*,210,60.34%,,,
,0060 Leon Sheffield Magnet Elementary School,0,317,109,34.38%,15,4.73%,124,39.12%,,,
,0068 Julian Harris Elementary School,1,366,117,31.97%,*,*,117,31.97%,,,
,0070 Banks-Caddell Elementary School,1,410,217,52.93%,*,*,217,52.93%,,,
,0071 Decatur Middle School,0,856,425,49.65%,33,3.86%,458,53.50%,,,
,0080 Oak Park Elementary School,1,404,233,57.67%,*,*,233,57.67%,,,
,0090 Walter Jackson Elementary School,1,243,91,37.45%,*,*,91,37.45%,,,
,0100 West Decatur Elementary School,1,329,162,49.24%,*,*,162,49.24%,,,
,0110 Benjamin Davis Elementary School,0,249,85,34.14%,15,6.02%,100,40.16%,,,
,0120 Woodmeade Elementary School,1,313,128,40.89%,*,*,128,40.89%,,,
128 Demopolis City,,,"2,027",960,47.361%,51,2.516%,"1,011",49.877%,,,
,0010 Demopolis Middle School,0,490,239,48.78%,15,3.06%,254,51.84%,,,
,0020 US Jones Elementary School,1,409,186,45.48%,*,*,186,45.48%,,,
,0040 Westside Elementary School,1,475,215,45.26%,*,*,215,45.26%,,,
,0050 Demopolis High School,0,653,320,49.00%,36,5.51%,356,54.52%,,,
130 Dothan City,,,"7,951","4,914",61.804%,243,3.056%,"5,157",64.86%,,,
,"0010 Carver School of Mathematics, Science, and Technology",0,451,176,39.02%,33,7.32%,209,46.34%,,,
,0012 Beverlye Intermediate School,0,463,341,73.65%,19,4.10%,360,77.75%,,,
,0015 Carver 9th Grade Academy,0,528,309,58.52%,16,3.03%,325,61.55%,,,
,0025 Dothan City Virtual School,0,423,243,57.45%,12,2.84%,255,60.28%,,,
,0035 Dothan Preparatory Academy,0,"1,081",662,61.24%,30,2.78%,692,64.01%,,,
,0050 Girard Primary School,0,329,272,82.67%,*,*,277,84.19%,,,
,0060 Girard Intermediate School,0,325,280,86.15%,*,*,287,88.31%,,,
,0080 Heard Elementary School,0,320,176,55.00%,14,4.38%,190,59.38%,,,
,0085 Hidden Lake Primary School,0,462,343,74.24%,17,3.68%,360,77.92%,,,
,0092 Highlands Elementary School,0,514,101,19.65%,*,*,105,20.43%,,,
,0097 Kelly Springs Elementary School,0,513,311,60.62%,22,4.29%,333,64.91%,,,
,0105 Morris Slingluff Elementary School,0,304,249,81.91%,*,*,258,84.87%,,,
,0115 Dothan High School,0,"1,380",701,50.80%,38,2.75%,739,53.55%,,,
,0125 Pre School Center,0,*,*,*,*,*,*,*,,,
,0130 Selma Street Elementary School,0,440,362,82.27%,12,2.73%,374,85.00%,,,
,0135 Dothan City Early Education Center,0,*,*,*,*,*,*,*,,,
,0150 Faine Elementary School,0,418,388,92.82%,*,*,393,94.02%,,,
131 Elba City,,,608,347,57.072%,*,*,347,57.072%,,,
,0010 Elba Elementary School,1,354,220,62.15%,*,*,220,62.15%,,,
,0020 Elba High School,1,254,127,50.00%,*,*,127,50.00%,,,
132 Enterprise City,,,"6,462","2,313",35.794%,406,6.283%,"2,719",42.077%,,,
,0030 Coppinville School,0,590,214,36.27%,56,9.49%,270,45.76%,,,
,0040 Dauphin Junior High School,0,501,139,27.74%,22,4.39%,161,32.14%,,,
,0045 Enterprise Early Education Center,0,505,175,34.65%,27,5.35%,202,40.00%,,,
,0050 Enterprise High School,0,"2,119",623,29.40%,148,6.98%,771,36.39%,,,
,0065 Harrand Creek Elementary School,0,411,223,54.26%,20,4.87%,243,59.12%,,,
,0070 Hillcrest Elementary School,0,801,345,43.07%,38,4.74%,383,47.82%,,,
,0080 Holly Hill Elementary School,0,695,192,27.63%,30,4.32%,222,31.94%,,,
,0090 Pinedale Elementary School,0,389,216,55.53%,24,6.17%,240,61.70%,,,
,0100 Rucker Boulevard Elementary School,0,451,186,41.24%,41,9.09%,227,50.33%,,,
133 Eufaula City,,,"6,663","3,325",49.902%,*,*,"3,325",49.902%,,,
,0010 Eufaula High School,1,700,314,44.86%,*,*,314,44.86%,,,
,0030 Moorer Middle School,1,545,323,59.27%,*,*,323,59.27%,,,
,0034 Eufaula Elementary School,1,508,319,62.80%,*,*,319,62.80%,,,
,0040 Eufaula Primary School,1,524,331,63.17%,*,*,331,63.17%,,,
,2060 Alabama Virtual Academy at Eufaula City Schools,0,"4,386","2,038",46.47%,*,*,"2,038",46.47%,,,
137 Fairfield City,,,"1,523","1,112",73.014%,*,*,"1,112",73.014%,,,
,0010 Donald Elementary School,1,287,221,77.00%,*,*,221,77.00%,,,
,0020 Fairfield High Preparatory School,1,782,560,71.61%,*,*,560,71.61%,,,
,0037 Forest Hills Community Development Center,1,*,*,*,*,*,*,*,,,
,0040 Glen Oaks Elementary School,1,235,157,66.81%,*,*,157,66.81%,,,
,0050 Robinson Elementary School,1,219,174,79.45%,*,*,174,79.45%,,,
141 Florence City,,,"4,566","1,974",43.233%,*,*,"1,974",43.233%,,,
,0020 Florence High School,1,"1,038",343,33.04%,*,*,343,33.04%,,,
,0040 Florence Freshman Center,1,392,143,36.48%,*,*,143,36.48%,,,
,0050 Forest Hills School,1,848,306,36.08%,*,*,306,36.08%,,,
,0070 Handy School,1,*,*,*,*,*,*,*,,,
,0080 Harlan Elementary School,1,423,317,74.94%,*,*,317,74.94%,,,
,0085 Kilby Laboratory School,0,148,24,16.22%,*,*,24,16.22%,,,
,0090 Weeden Elementary School,1,413,272,65.86%,*,*,272,65.86%,,,
,0095 Hibbett School,1,597,263,44.05%,*,*,263,44.05%,,,
,0100 Florence Middle School,1,707,306,43.28%,*,*,306,43.28%,,,
143 Fort Payne City,,,"3,368","1,813",53.83%,207,6.146%,"2,020",59.976%,,,
,0020 Fort Payne High School,0,"1,064",519,48.78%,64,6.02%,583,54.79%,,,
,0025 Fort Payne Middle School,0,792,431,54.42%,43,5.43%,474,59.85%,,,
,0035 Little Ridge Intermediate School,0,729,412,56.52%,49,6.72%,461,63.24%,,,
,0040 Wills Valley Elementary School,0,783,451,57.60%,51,6.51%,502,64.11%,,,
144 Gadsden City,,,"4,742","3,018",63.644%,252,5.314%,"3,270",68.958%,,,
,0040 Litchfield Middle School,0,261,195,74.71%,18,6.90%,213,81.61%,,,
,0050 Gadsden Middle School,0,431,274,63.57%,11,2.55%,285,66.13%,,,
,0060 Donehoo Elementary School,0,225,170,75.56%,23,10.22%,193,85.78%,,,
,0085 Adams Elementary School,0,388,315,81.19%,17,4.38%,332,85.57%,,,
,0120 Eura Brown Elementary School,0,343,58,16.91%,23,6.71%,81,23.62%,,,
,0125 Floyd Elementary School,0,334,282,84.43%,*,*,291,87.13%,,,
,0135 Gadsden City High School,0,"1,341",785,58.54%,61,4.55%,846,63.09%,,,
,0140 Sansom Middle School,0,361,224,62.05%,23,6.37%,247,68.42%,,,
,0190 Mitchell Elementary School,0,266,103,38.72%,31,11.65%,134,50.38%,,,
,0210 Thompson Elementary School,0,190,153,80.53%,*,*,159,83.68%,,,
,0240 W. E. Striplin Elementary School,0,405,324,80.00%,17,4.20%,341,84.20%,,,
,0270 Walnut Park Elementary School,0,197,135,68.53%,13,6.60%,148,75.13%,,,
146 Geneva City,,,"1,207",500,41.425%,90,7.457%,590,48.882%,,,
,0010 Geneva High School,0,373,140,37.53%,22,5.90%,162,43.43%,,,
,0020 Mulkey Elementary School,0,550,238,43.27%,40,7.27%,278,50.55%,,,
,0030 Geneva Middle School,0,284,122,42.96%,28,9.86%,150,52.82%,,,
152 Gulf Shores City,,,"2,268",266,11.728%,*,*,266,11.728%,,,
,0010 Gulf Shores Elementary School,0,935,128,13.69%,*,*,128,13.69%,,,
,0020 Gulf Shores Middle School,0,589,69,11.71%,*,*,69,11.71%,,,
,0030 Gulf Shores High School,0,744,69,9.27%,*,*,69,9.27%,,,
154 Guntersville City,,,"1,815",643,35.427%,126,6.942%,769,42.369%,,,
,0010 Guntersville Middle School,0,416,154,37.02%,24,5.77%,178,42.79%,,,
,0020 Cherokee Elementary School,0,379,145,38.26%,34,8.97%,179,47.23%,,,
,0030 Guntersville Elementary School,0,420,162,38.57%,33,7.86%,195,46.43%,,,
,0040 Guntersville High School,0,600,182,30.33%,35,5.83%,217,36.17%,,,
155 Haleyville City,,,"1,572",687,43.702%,163,10.369%,850,54.071%,,,
,0025 Haleyville Elementary School,0,730,363,49.73%,71,9.73%,434,59.45%,,,
,0030 Haleyville High School,0,475,164,34.53%,44,9.26%,208,43.79%,,,
,0035 Haleyville Middle School,0,367,160,43.60%,48,13.08%,208,56.68%,,,
156 Hartselle City,,,"3,464",555,16.022%,*,*,555,16.022%,,,
,0005 Barkley Bridge Elementary School,0,386,44,11.40%,*,*,44,11.40%,,,
,0010 Crestline Elementary School,0,473,116,24.52%,*,*,116,24.52%,,,
,0020 FE Burleson Elementary School,0,479,108,22.55%,*,*,108,22.55%,,,
,0025 Hartselle Intermediate School,0,561,98,17.47%,*,*,98,17.47%,,,
,0030 Hartselle Junior High School,0,525,68,12.95%,*,*,68,12.95%,,,
,0040 Hartselle High School,0,"1,040",121,11.63%,*,*,121,11.63%,,,
157 Homewood City,,,"4,216",588,13.947%,93,2.206%,681,16.153%,,,
,0010 Edgewood Elementary School,0,807,46,5.70%,*,*,48,5.95%,,,
,0020 Hall Kent Elementary School,0,657,143,21.77%,25,3.81%,168,25.57%,,,
,0030 Homewood Middle School,0,982,161,16.40%,23,2.34%,184,18.74%,,,
,0035 Homewood High School,0,"1,267",177,13.97%,36,2.84%,213,16.81%,,,
,0040 Shades Cahaba Elementary School,0,503,61,12.13%,*,*,68,13.52%,,,
158 Hoover City,,,"13,372","2,657",19.87%,577,4.315%,"3,234",24.185%,,,
,0010 Spain Park High School,0,"1,579",270,17.10%,83,5.26%,353,22.36%,,,
,0070 Berry Middle School,0,"1,081",241,22.29%,46,4.26%,287,26.55%,,,
,0080 Bluff Park Elementary School,0,612,90,14.71%,17,2.78%,107,17.48%,,,
,0350 Green Valley Elementary School,0,444,191,43.02%,34,7.66%,225,50.68%,,,
,0360 Greystone Elementary School,0,425,35,8.24%,*,*,40,9.41%,,,
,0365 Gwin Elementary School,0,524,170,32.44%,29,5.53%,199,37.98%,,,
,0380 Deer Valley Elementary School,0,767,57,7.43%,17,2.22%,74,9.65%,,,
,0400 Hoover High School,0,"2,716",542,19.96%,147,5.41%,689,25.37%,,,
,0410 Riverchase Elementary School,0,656,147,22.41%,36,5.49%,183,27.90%,,,
,0415 Robert F Bumpus Middle School,0,"1,154",130,11.27%,18,1.56%,148,12.82%,,,
,0420 Brock's Gap Intermediate School,0,472,59,12.50%,*,*,68,14.41%,,,
,0425 Ira F Simmons Middle School,0,992,326,32.86%,66,6.65%,392,39.52%,,,
,0760 Rocky Ridge Elementary School,0,564,137,24.29%,17,3.01%,154,27.30%,,,
,0810 Shades Mountain Elementary School,0,289,69,23.88%,15,5.19%,84,29.07%,,,
,0815 South Shades Crest Elementary School,0,451,36,7.98%,*,*,40,8.87%,,,
,0820 Trace Crossings Elementary School,0,646,157,24.30%,34,5.26%,191,29.57%,,,
159 Huntsville City,,,"23,177","7,579",32.701%,42,0.181%,"7,621",32.882%,,,
,0010 Blossomwood Elementary School,1,599,230,38.40%,*,*,230,38.40%,,,
,0025 Academy For Academics & Arts Elementary School,1,389,135,34.70%,*,*,135,34.70%,,,
,0026 Academy for Academics and Arts Middle School,1,261,53,20.31%,*,*,53,20.31%,,,
,0034 Challenger Elementary School,0,465,107,23.01%,*,*,108,23.23%,,,
,0037 Challenger Middle School,0,456,86,18.86%,*,*,88,19.30%,,,
,0040 Chapman Elementary School,1,119,44,36.97%,*,*,44,36.97%,,,
,0050 Chapman Middle School,1,402,237,58.96%,*,*,237,58.96%,,,
,0052 Columbia High School,1,950,341,35.89%,*,*,341,35.89%,,,
,0060 Martin Luther King Jr Elementary School,1,440,277,62.95%,*,*,277,62.95%,,,
,0080 Academy For Science & Foreign Language,1,298,102,34.23%,*,*,102,34.23%,,,
,0081 Academy For Science & Foreign Language Middle School,1,224,66,29.46%,*,*,66,29.46%,,,
,0120 Farley Elementary School,1,320,64,20.00%,*,*,64,20.00%,,,
,0132 Goldsmith-Schiffman Elementary,0,883,54,6.12%,*,*,54,6.12%,,,
,0135 Hampton Cove Elementary,0,673,26,3.86%,*,*,29,4.31%,,,
,0138 Hampton Cove Middle School,0,724,28,3.87%,*,*,28,3.87%,,,
,0140 Highlands Elementary School,1,410,237,57.80%,*,*,237,57.80%,,,
,0160 Huntsville High School,0,"1,819",275,15.12%,*,*,277,15.23%,,,
,0170 Huntsville Junior High School,1,462,175,37.88%,*,*,175,37.88%,,,
,0172 Jemison High School,1,871,451,51.78%,*,*,451,51.78%,,,
,0180 Jones Valley Elementary School,0,433,105,24.25%,*,*,105,24.25%,,,
,0190 Lakewood Elementary School,1,423,286,67.61%,*,*,286,67.61%,,,
,0200 Lee High School,1,792,325,41.04%,*,*,325,41.04%,,,
,0220 Morris Elementary School,1,449,232,51.67%,*,*,232,51.67%,,,
,0221 Morris Middle School,1,445,244,54.83%,*,*,244,54.83%,,,
,0230 McDonnell Elementary School,1,426,226,53.05%,*,*,226,53.05%,,,
,0240 Monte Sano Elementary School,0,252,*,*,*,*,11,4.37%,,,
,0250 Montview Elementary School,1,197,124,62.94%,*,*,124,62.94%,,,
,0260 Mountain Gap Elementary School,0,291,40,13.75%,*,*,41,14.09%,,,
,0270 Mountain Gap Middle School,0,427,57,13.35%,*,*,62,14.52%,,,
,0273 Providence Elementary,1,776,262,33.76%,*,*,262,33.76%,,,
,0280 Ridgecrest Elementary School,1,463,252,54.43%,*,*,252,54.43%,,,
,0290 Roger B Chaffee Elementary School,1,350,83,23.71%,*,*,83,23.71%,,,
,0300 Rolling Hills Elementary School,1,446,262,58.74%,*,*,262,58.74%,,,
,0305 Ronald McNair 7-8,1,432,260,60.19%,*,*,260,60.19%,,,
,0315 Sonnie Hereford Elementary School,1,610,410,67.21%,*,*,410,67.21%,,,
,0340 Virgil Grissom High School,0,"1,952",419,21.47%,21,1.08%,440,22.54%,,,
,0350 Weatherly Heights Elementary School,0,438,74,16.89%,*,*,79,18.04%,,,
,0370 James Dawson Elementary,1,419,277,66.11%,*,*,277,66.11%,,,
,0390 Whitesburg Elementary School,1,307,95,30.94%,*,*,95,30.94%,,,
,0400 Whitesburg Middle School,1,591,217,36.72%,*,*,217,36.72%,,,
,0410 Williams Elementary School,1,481,104,21.62%,*,*,104,21.62%,,,
,0415 Williams Middle School,1,580,167,28.79%,*,*,167,28.79%,,,
,0460 New Century Technology High School,1,432,61,14.12%,*,*,61,14.12%,,,
162 Jacksonville City,,,"1,661",639,38.471%,120,7.225%,759,45.695%,,,
,0010 Kitty Stone Elementary School,0,909,390,42.90%,64,7.04%,454,49.94%,,,
,0020 Jacksonville High School,0,752,249,33.11%,56,7.45%,305,40.56%,,,
163 Jasper City,,,"2,535",936,36.923%,130,5.128%,"1,066",42.051%,,,
,0010 Maddox Intermediate School,0,609,245,40.23%,36,5.91%,281,46.14%,,,
,0020 Memorial Park Elementary School,0,366,147,40.16%,26,7.10%,173,47.27%,,,
,0030 T R Simmons Elementary School,0,389,162,41.65%,18,4.63%,180,46.27%,,,
,0040 Jasper High School,0,748,234,31.28%,26,3.48%,260,34.76%,,,
,0045 Jasper Junior High School,0,423,148,34.99%,24,5.67%,172,40.66%,,,
165 Lanett City,,,933,542,58.092%,*,*,542,58.092%,,,
,0010 W. O. Lance Elementary,1,544,339,62.32%,*,*,339,62.32%,,,
,0030 Lanett Senior High School,1,229,117,51.09%,*,*,117,51.09%,,,
,0040 Lanett Junior High School,1,160,86,53.75%,*,*,86,53.75%,,,
167 Leeds City,,,"2,037",740,36.328%,136,6.676%,876,43.004%,,,
,0005 Leeds Primary School,0,509,198,38.90%,25,4.91%,223,43.81%,,,
,0010 Leeds Elementary School,0,438,163,37.21%,44,10.05%,207,47.26%,,,
,0020 Leeds Middle School,0,476,178,37.39%,32,6.72%,210,44.12%,,,
,0030 Leeds High School,0,614,201,32.74%,35,5.70%,236,38.44%,,,
168 Linden City,,,434,285,65.668%,*,*,285,65.668%,,,
,0010 George P Austin Junior High School,1,108,81,75.00%,*,*,81,75.00%,,,
,0020 Linden Elementary School,1,190,126,66.32%,*,*,126,66.32%,,,
,0030 Linden High School,1,136,78,57.35%,*,*,78,57.35%,,,
169 Madison City,,,"11,988","1,209",10.085%,*,*,"1,214",10.127%,,,
,0010 Heritage Elementary School,0,881,98,11.12%,*,*,98,11.12%,,,
,0020 Rainbow Elementary School,0,655,75,11.45%,*,*,75,11.45%,,,
,0030 Columbia Elementary School,0,783,89,11.37%,*,*,90,11.49%,,,
,0075 Horizon Elementary School,0,559,74,13.24%,*,*,74,13.24%,,,
,0080 Bob Jones High School,0,"1,918",150,7.82%,*,*,150,7.82%,,,
,0082 Discovery Middle School,0,"1,374",127,9.24%,*,*,127,9.24%,,,
,0083 Liberty Middle School,0,"1,416",174,12.29%,*,*,176,12.43%,,,
,0085 Madison Elementary School,0,485,34,7.01%,*,*,35,7.22%,,,
,0090 Mill Creek Elementary School,0,901,111,12.32%,*,*,111,12.32%,,,
,0095 James Clemens High School,0,"2,142",205,9.57%,*,*,206,9.62%,,,
,0220 MidTown Elementary School,0,874,72,8.24%,*,*,72,8.24%,,,
171 Midfield City,,,"1,011",734,72.601%,*,*,734,72.601%,,,
,0010 Midfield Elementary School,1,355,259,72.96%,*,*,259,72.96%,,,
,0020 Midfield High School,1,336,240,71.43%,*,*,240,71.43%,,,
,0040 Rutledge School,1,320,235,73.44%,*,*,235,73.44%,,,
175 Mountain Brook City,,,"4,301",14,0.326%,*,*,14,0.326%,,,
,0010 Brookwood Forest Elementary School,0,526,*,*,*,*,*,*,,,
,0020 Cherokee Bend Elementary School,0,556,*,*,*,*,*,*,,,
,0030 Crestline Elementary School,0,760,*,*,*,*,*,*,,,
,0040 Mountain Brook Elementary School,0,513,*,*,*,*,*,*,,,
,0050 Mountain Brook High School,0,978,*,*,*,*,*,*,,,
,0060 Mountain Brook Junior High School,0,968,*,*,*,*,*,*,,,
176 Muscle Shoals City,,,"2,798",596,21.301%,124,4.432%,720,25.733%,,,
,0005 McBride Elementary School,0,613,129,21.04%,33,5.38%,162,26.43%,,,
,0010 Muscle Shoals Middle School,0,663,154,23.23%,36,5.43%,190,28.66%,,,
,0020 Highland Park Elementary School,0,218,59,27.06%,13,5.96%,72,33.03%,,,
,0030 Howell Graves Preschool,0,215,47,21.86%,11,5.12%,58,26.98%,,,
,0040 Muscle Shoals High School,0,868,147,16.94%,23,2.65%,170,19.59%,,,
,0050 Webster Elementary School,0,221,60,27.15%,*,*,68,30.77%,,,
177 Pelham City,,,"3,471",649,18.698%,76,2.19%,725,20.887%,,,
,0085 Pelham High School,0,"1,141",208,18.23%,24,2.10%,232,20.33%,,,
,0087 Pelham Park Middle School,0,778,147,18.89%,19,2.44%,166,21.34%,,,
,0150 Pelham Ridge,0,793,139,17.53%,11,1.39%,150,18.92%,,,
,0155 Pelham Oaks,0,759,155,20.42%,22,2.90%,177,23.32%,,,
178 Oneonta City,,,"1,425",433,30.386%,97,6.807%,530,37.193%,,,
,0010 Oneonta Elementary School,0,630,202,32.06%,41,6.51%,243,38.57%,,,
,0015 Oneonta Middle School,0,328,101,30.79%,29,8.84%,130,39.63%,,,
,0020 Oneonta High School,0,467,130,27.84%,27,5.78%,157,33.62%,,,
179 Opelika City,,,"4,905","2,405",49.032%,95,1.937%,"2,500",50.968%,,,
,0010 Northside School,0,442,201,45.48%,*,*,211,47.74%,,,
,0020 Carver Primary School,0,395,246,62.28%,14,3.54%,260,65.82%,,,
,0030 Jeter Primary School,0,397,194,48.87%,*,*,199,50.13%,,,
,0045 Morris Avenue Intermediate School,0,326,159,48.77%,*,*,169,51.84%,,,
,0055 Opelika High School,0,"1,420",618,43.52%,22,1.55%,640,45.07%,,,
,0060 Opelika Middle School,0,"1,140",600,52.63%,17,1.49%,617,54.12%,,,
,0090 Southview Primary School,0,440,184,41.82%,*,*,194,44.09%,,,
,0100 West Forest Intermediate School,0,345,203,58.84%,*,*,210,60.87%,,,
180 Opp City,,,"1,222",497,40.671%,*,*,497,40.671%,,,
,0010 Opp High School,0,367,126,34.33%,*,*,126,34.33%,,,
,0020 Opp Middle School,0,396,170,42.93%,*,*,170,42.93%,,,
,0030 Opp Elementary School,0,459,201,43.79%,*,*,201,43.79%,,,
181 Oxford City,,,"4,037","1,597",39.559%,168,4.162%,"1,765",43.721%,,,
,0005 CE Hanna School,0,614,246,40.07%,39,6.35%,285,46.42%,,,
,0010 Oxford Elementary School,0,689,313,45.43%,37,5.37%,350,50.80%,,,
,0020 Oxford High School,0,"1,265",401,31.70%,34,2.69%,435,34.39%,,,
,0030 Oxford Middle School,0,656,247,37.65%,23,3.51%,270,41.16%,,,
,0040 De Armanville Elementary School,0,441,199,45.12%,24,5.44%,223,50.57%,,,
,0070 Coldwater Elementary School,0,372,191,51.34%,11,2.96%,202,54.30%,,,
182 Ozark City,,,"2,046","1,032",50.44%,*,*,"1,032",50.44%,,,
,0010 Carroll High School,1,676,254,37.57%,*,*,254,37.57%,,,
,0040 Harry N Mixon Intermediate School,1,424,240,56.60%,*,*,240,56.60%,,,
,0050 Joseph W Lisenby Primary School,1,455,277,60.88%,*,*,277,60.88%,,,
,0060 D A Smith Middle School,1,491,261,53.16%,*,*,261,53.16%,,,
183 Pell City,,,"4,022","1,685",41.895%,261,6.489%,"1,946",48.384%,,,
,0040 Coosa Valley Elementary School,0,416,189,45.43%,30,7.21%,219,52.64%,,,
,0050 Eden Elementary School,0,371,199,53.64%,36,9.70%,235,63.34%,,,
,0060 Iola Roberts Elementary School,0,381,213,55.91%,35,9.19%,248,65.09%,,,
,0080 Duran Junior High School,0,314,130,41.40%,19,6.05%,149,47.45%,,,
,0085 Duran South,0,326,127,38.96%,20,6.13%,147,45.09%,,,
,0090 Williams Intermediate School,0,625,249,39.84%,36,5.76%,285,45.60%,,,
,0100 Pell City High School,0,"1,152",382,33.16%,53,4.60%,435,37.76%,,,
,0110 Walter M Kennedy School,0,437,196,44.85%,32,7.32%,228,52.17%,,,
184 Phenix City,,,"7,081","3,983",56.249%,465,6.567%,"4,448",62.816%,,,
,0030 Central High School,0,"1,392",657,47.20%,97,6.97%,754,54.17%,,,
